1 22 353 26 23 21 1 18 28 39 26 33 28
2 22 119 33 31 31 5 14 35 21 18 33 28
3 22 141 34 43 25 54 19 48 31 12 33 27
4 22 515 45 33 24 11 22 18 30 26 34 28
5 22 151 10 15 28 28 25 40 21 13 33 27
6 22 318 19 24 21 1 25 16 25 32 34 27
7 22 135 29 30 28 17 24 19 25 22 33 27
8 22 258 43 41 29 1 18 21 25 28 34 28
9 22 97 31 19 33 12 26 28 29 22 33 28
10 22 106 38 40 29 85 19 39 27 15 33 28
11 22 54 21 9 40 1 28 46 27 18 33 28
12 22 482 34 32 22 1 18 18 24 24 33 27
13 22 95 23 25 33 41 25 29 29 14 33 28
14 22 98 26 33 32 1 16 34 25 17 33 28
15 22 122 38 40 20 26 24 27 26 19 33 28
16 22 116 28 17 35 29 17 24 22 26 34 28
17 22 172 39 27 35 41 18 27 26 21 33 28
18 22 133 41 21 29 81 24 6 35 45 34 27
19 22 232 21 22 28 3 24 35 32 18 33 28
20 22 171 39 19 33 51 23 32 29 22 33 27
21 22 154 34 24 31 49 19 23 29 22 33 28
22 22 131 37 40 32 24 22 43 28 13 33 28
23 22 200 34 30 35 1 26 33 33 20 33 28
24 22 118 37 39 33 83 27 39 31 18 34 28
25 22 64 28 28 34 48 20 14 28 25 34 28
26 22 109 33 20 26 18 20 6 26 31 34 27
27 22 110 27 25 31 31 20 31 26 16 34 28
28 22 101 24 22 39 1 19 22 24 23 33 28
29 22 243 20 26 20 11 19 35 32 29 34 27
30 22 64 47 26 37 63 18 28 32 27 34 27
31 22 100 24 30 24 28 25 41 32 17 33 28
32 22 61 22 17 32 1 16 13 30 26 34 27
33 22 182 36 31 34 46 25 21 24 26 34 27
34 22 164 34 34 24 38 33 30 27 15 33 28
35 22 199 21 28 19 1 19 18 25 18 33 27
36 22 132 31 28 25 27 20 36 28 21 33 28
37 22 85 35 26 26 73 25 9 33 31 34 28
38 22 186 25 8 43 8 20 25 14 18 33 27
39 22 73 35 27 26 62 23 42 20 11 33 28
40 22 75 25 34 29 29 23 44 22 14 33 28
41 22 148 32 39 22 13 21 28 18 12 34 28
42 22 165 31 15 38 40 19 28 24 26 34 27
43 22 62 17 11 29 12 21 37 25 19 33 28
44 22 116 48 43 28 1 25 15 32 33 34 28
45 22 169 42 39 27 1 25 13 28 29 34 28
46 22 79 31 21 28 1 17 18 24 21 33 27
47 22 67 33 32 27 1 18 31 21 16 33 28
48 22 89 27 30 25 18 24 29 27 14 33 27
49 22 88 31 30 30 87 25 48 24 9 33 27
50 22 91 35 50 19 1 25 25 26 14 33 28
51 22 127 34 38 30 31 28 25 28 13 33 28
52 22 163 33 17 26 1 21 19 28 26 34 28
53 22 97 20 31 21 51 23 35 25 14 33 27
54 22 75 38 38 29 1 19 14 26 24 34 27
55 22 117 30 26 33 25 20 42 26 22 33 28
56 22 122 31 20 36 71 15 37 26 22 33 28
57 22 105 25 26 24 19 13 25 29 17 33 28
58 22 306 39 38 26 7 20 48 35 15 33 28
59 22 192 28 32 21 1 20 16 29 17 33 27
60 22 229 32 17 33 47 16 39 17 19 33 28
61 22 167 35 1 48 35 15 21 23 25 33 27
62 22 116 38 39 30 1 24 41 28 18 33 28
63 22 104 31 38 26 1 22 22 28 16 33 28
64 22 155 43 26 36 31 27 39 31 22 33 28
65 22 75 15 13 34 19 23 39 34 16 33 27
66 22 125 45 32 30 22 23 22 36 30 34 28
67 22 184 30 33 31 22 20 30 27 15 33 28
68 22 83 39 53 18 74 23 45 25 8 34 28
69 22 178 39 35 31 42 20 30 28 18 33 28
70 22 94 37 33 27 71 21 25 22 27 34 28
71 22 342 42 47 17 40 14 23 23 24 34 28
72 22 490 19 13 33 1 22 40 27 22 33 27
73 22 86 43 28 35 79 22 31 40 23 34 27
74 22 158 23 37 28 1 19 38 22 16 33 27
75 22 99 38 36 26 26 21 21 27 20 33 28
76 22 104 25 11 29 40 16 7 27 28 34 27
77 22 75 40 24 36 42 25 39 20 25 33 27
78 22 87 28 16 28 1 20 5 29 26 33 27
79 22 143 33 24 21 18 25 24 39 26 34 27
80 22 175 15 31 25 1 18 27 35 20 34 28
81 22 88 26 26 38 1 20 29 29 19 33 28
82 22 157 35 31 26 80 22 43 36 20 33 28
83 22 107 36 26 36 40 20 34 25 22 33 28
84 22 184 23 41 21 1 17 17 26 20 33 27
85 22 98 30 12 35 21 22 27 33 34 34 28
86 22 86 23 25 22 31 22 44 25 9 33 28
87 22 169 28 19 26 1 20 21 34 30 34 27
88 22 63 33 14 45 25 17 22 31 35 34 27
89 22 106 27 33 27 1 25 16 31 18 33 28
90 22 87 26 27 26 1 16 28 16 20 34 28
91 22 156 28 25 26 1 20 16 25 32 34 28
92 22 245 30 17 34 81 18 25 22 21 33 27
93 22 86 29 29 31 1 27 21 31 23 33 28
94 22 120 30 43 24 23 21 29 26 14 33 28
95 22 93 38 39 21 64 22 35 20 13 33 28
96 22 97 32 28 29 11 18 20 26 19 33 27
97 22 121 33 36 29 34 26 12 30 28 34 28
98 21 123 24 7 35 27 19 27 27 28 34 27
99 22 91 36 18 36 68 23 27 27 26 34 28
100 22 146 29 25 24 33 21 25 28 29 34 27
101 22 123 52 31 30 28 24 23 32 36 34 28
102 22 185 42 28 32 68 20 19 20 27 34 27
103 22 66 12 19 29 24 21 33 32 20 33 28
104 22 99 37 36 27 1 23 9 26 24 33 28
105 22 96 26 28 37 31 28 43 34 13 34 28
106 22 85 29 31 28 1 22 7 16 25 33 28
107 22 99 37 23 39 4 20 26 25 30 34 28
108 22 127 20 13 36 39 19 30 29 21 33 27
